#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","HardwareVersion","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","CreateDate","SEVEnabled","BootDelayMillisecond","MigrationEncryption","MemoryHotAddEnabled","MemoryHotAddIncrement","MemoryHotAddLimit","CpuHotAddEnabled","CpuHotRemoveEnabled","ExtensionData","CustomFields","Id","Uid"
"OfcPro050000","PoweredOn","Last Tintri snapshot taken at 2015-10-01 14:27:30","OfcPro050000:Microsoft Windows 7 (32-bit)","4","4","4096","4","HostSystem-host-272","10.1.10.25",,"Folder-group-v3","vm","ResourcePool-resgroup-59","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/40960","v8","vmx-08","501b5b14-0191-c8ff-9184-1be0ee48e5ef","windows7Guest","74.683489687740802764892578125","104.67372463550418615341186523","System.String[]",,,"0","Opportunistic","False","0","4096","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12687","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12687/"
"vRA-1","PoweredOn","vSphere Replication Appliance","vRA-1:Linux 4.19.247-7.ph3 VMware Photon OS/Linux VMware Photon OS 3.0","4","1","8192","8","HostSystem-host-272","10.1.10.25",,"Folder-group-v3","vm","ResourcePool-resgroup-59","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v10","vmx-10","5024942a-f324-5edb-911a-32eb61522cea","other3xLinux64Guest","41.162478229030966758728027344","41.162479160353541374206542969","System.String[]","11/29/2022 3:07:56 AM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12639","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12639/"
"ECW-APPFTP-TST00","PoweredOn","","ECW-APPFTP-TST00:Microsoft Windows Server 2016 or later (64-bit)","8","4","16384","16","HostSystem-host-279","10.1.10.15",,"Folder-group-v3","vm","ResourcePool-resgroup-11798","eCW_TEST_Servers","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","v11","vmx-11","5024c27b-0154-b5c0-5aa9-840346f1f969","windows9Server64Guest","606.16839916817843914031982422","606.16840015817433595657348633","System.String[]","4/23/2020 4:51:22 AM",,"0","Opportunistic","False","0","16384","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-11796","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-11796/"
"ECW-DBEBO-TST00","PoweredOn","","ECW-DBEBO-TST00:Microsoft Windows Server 2016 or later (64-bit)","12","1","32768","32","HostSystem-host-279","10.1.10.15",,"Folder-group-v3","vm","ResourcePool-resgroup-11798","eCW_TEST_Servers","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/12000 MemShares:Normal/327680","v11","vmx-11","502447c9-f27f-734c-9f05-01f8a91404dd","windows9Server64Guest","3347.1735534481704235076904297","3347.1735554281622171401977539","System.String[]","4/23/2020 4:51:22 AM",,"0","Opportunistic","False","0","32768","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-11797","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-11797/"
"TinyCore_test","PoweredOn","","TinyCore_test:","1","1","512","0.5","HostSystem-host-9","10.1.10.24",,"Folder-group-v3","vm","ResourcePool-resgroup-59","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/5120","v11","vmx-11","502438de-fa72-6f47-dba4-a627a5d503b6","other24xLinux64Guest","0.603525884449481964111328125","0.6406357176601886749267578125","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","False","0","512","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12067","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12067/"
"HT-EXMBX00","PoweredOn","","HT-EXMBX00:Microsoft Windows Server 2012 (64-bit)","8","4","24576","24","HostSystem-host-9","10.1.10.24",,"Folder-group-v88","Exchange 2K13","ResourcePool-resgroup-210","Exchange_2013","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/245760","v11","vmx-11","5001f536-3aa7-1590-82c8-dc8d11eab0c7","windows8Server64Guest","2945.9881538487970829010009766","3409.0994846429675817489624024","System.String[]","1/1/1970 12:00:00 AM",,"0","Opportunistic","True","4","393216","True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-174","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-174/"
"HT-EXMBX01","PoweredOn","","HT-EXMBX01:Microsoft Windows Server 2012 (64-bit)","8","4","24576","24","HostSystem-host-279","10.1.10.15",,"Folder-group-v88","Exchange 2K13","ResourcePool-resgroup-210","Exchange_2013","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/245760","v11","vmx-11","5001a794-b472-b335-2c27-c0813d09b51d","windows8Server64Guest","2979.1599657097831368446350098","3419.1853590039536356925964356","System.String[]",,,"0","Opportunistic","True","4","393216","True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-211","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-211/"
"HT-EXWIT00","PoweredOn","","HT-EXWIT00:Microsoft Windows Server 2012 (64-bit)","2","1","4096","4","HostSystem-host-272","10.1.10.25",,"Folder-group-v88","Exchange 2K13","ResourcePool-resgroup-210","Exchange_2013","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v11","vmx-11","50019804-46b8-51c1-5025-32d69b88acb1","windows8Server64Guest","507.16826815530657768249511719","507.16826922446489334106445313","System.String[]",,,"0","Opportunistic","True","4","65536","True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-175","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-175/"
"VM-ECWWKS-02","PoweredOn","","VM-ECWWKS-02:Microsoft Windows 10 (64-bit)","2","1","8192","8","HostSystem-host-272","10.1.10.25",,"Folder-group-v2691","ECW Workstations","ResourcePool-resgroup-2692","ECW Workstations","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","5024b384-b9a0-9e14-1c90-cefcbf06f91a","windows9_64Guest","76.616316131316125392913818359","83.17393383197486400604248047","System.String[]","2/24/2020 8:41:58 PM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-2721","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2721/"
"VM-ECWWKS-03","PoweredOn","","VM-ECWWKS-03:Microsoft Windows 10 (64-bit)","2","1","8192","8","HostSystem-host-275","10.1.10.16",,"Folder-group-v2691","ECW Workstations","ResourcePool-resgroup-2692","ECW Workstations","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","50240ae5-d8cb-807f-1fe4-35530d0563df","windows9_64Guest","73.705651811324059963226318359","83.23104294948279857635498047","System.String[]","2/24/2020 8:41:58 PM",,"0","Opportunistic","False","0","8192","False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-2722","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2722/"
