#TYPE VMware.VimAutomation.ViCore.Impl.V1.VirtualDevice.NetworkAdapterImpl
"MacAddress","WakeOnLanEnabled","NetworkName","Type","ParentId","Parent","Uid","ConnectionState","ExtensionData","Id","Name"
"00:50:56:9b:2b:20","True","VDI Network-00","e1000","VirtualMachine-vm-12687","OfcPro050000","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12687/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-12687/4000","Network adapter 1"
"00:50:56:a4:17:f8","True","Server Network-00","Vmxnet3","VirtualMachine-vm-12639","vRA-1","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12639/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-12639/4000","Network adapter 1"
"00:50:56:a4:34:c8","True","Server Network-00","Vmxnet3","VirtualMachine-vm-11796","ECW-APPFTP-TST00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-11796/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-11796/4000","Network adapter 1"
"00:50:56:a4:f6:78","True","Server Network-00","Vmxnet3","VirtualMachine-vm-11797","ECW-DBEBO-TST00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-11797/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-11797/4000","Network adapter 1"
"00:50:56:a4:06:ac","True","Server Network-00","e1000","VirtualMachine-vm-12067","TinyCore_test","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-12067/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000","VirtualMachine-vm-12067/4000","Network adapter 1"
"00:50:56:81:46:96","True","Server Network-00","e1000e","VirtualMachine-vm-174","HT-EXMBX00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-174/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000e","VirtualMachine-vm-174/4000","Network adapter 1"
"00:50:56:81:5c:38","True","Server Network-00","e1000e","VirtualMachine-vm-211","HT-EXMBX01","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-211/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000e","VirtualMachine-vm-211/4000","Network adapter 1"
"00:50:56:81:24:f8","True","Server Network-00","e1000e","VirtualMachine-vm-175","HT-EXWIT00","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-175/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualE1000e","VirtualMachine-vm-175/4000","Network adapter 1"
"00:50:56:A4:FF:3F","True","Server Network-00","Vmxnet3","VirtualMachine-vm-2721","VM-ECWWKS-02","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2721/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-2721/4000","Network adapter 1"
"00:50:56:A4:EF:DA","True","Server Network-00","Vmxnet3","VirtualMachine-vm-2722","VM-ECWWKS-03","/VIServer=vsphere.local\administrator@ht-vcenter67dc.healthtexas.local:443/VirtualMachine=VirtualMachine-vm-2722/NetworkAdapter=4000/","Connected, GuestControl, StartConnected","VMware.Vim.VirtualVmxnet3","VirtualMachine-vm-2722/4000","Network adapter 1"
