#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","VMX","ResourcePool"
"OfcPro050000","[csVOL-B] OfcPro050000/OfcPro050000.vmx","Resources"
"vRA-1","[csVOL-B] vRA-1/vRA-1.vmx","Resources"
"ECW-APPFTP-TST00","[csVOL-eCWBkup] ECW-APPFTP-TST00/ECW-APPFTP-TST00.vmx","eCW_TEST_Servers"
"ECW-DBEBO-TST00","[csVOL-eCWBkup] ECW-DBEBO-TST00/ECW-DBEBO-TST00.vmx","eCW_TEST_Servers"
"TinyCore_test","[csVOL-B] TinyCore_test/TinyCore_test.vmx","Resources"
"HT-EXMBX00","[csVOL-EXMBX00] HT-EXMBX00/HT-EXMBX00.vmx","Exchange_2013"
"HT-EXMBX01","[csVOL-EXMBX01] HT-EXMBX01/HT-EXMBX01.vmx","Exchange_2013"
"HT-EXWIT00","[csVOL-B] HT-EXWIT00/HT-EXWIT00.vmx","Exchange_2013"
"VM-ECWWKS-02","[csVOL-E] VM-ECWWKS-02/VM-ECWWKS-02.vmx","ECW Workstations"
"VM-ECWWKS-03","[csVOL-E] VM-ECWWKS-03/VM-ECWWKS-03.vmx","ECW Workstations"
"VM-ECWWKS-00","[csVOL-E] VM-ECWWKS-00/VM-ECWWKS-00.vmx","ECW Workstations"
"VM-ECWWKS-01","[csVOL-E] VM-ECWWKS-01/VM-ECWWKS-01.vmx","ECW Workstations"
"HT-EZCAP-TEST00","[csVOL-E] HT-EZCAP-TEST00/HT-EZCAP-TEST00.vmx","EZ-CAP TEST"
"HT-GFI00","[csVOL-E] HT-GFI00/HT-GFI00.vmx","Security_&_Monitoring"
"HT-SQLIT01","[csVOL-E] HT-SQLIT01/HT-SQLIT01.vmx","IT Systems"
"HT-VEEAM04","[csVOL-A] HT-VEEAM04/HT-VEEAM04.vmx","Resources"
"HT-SQLDW-PROD01","[csVOL-C] HT-SQLDW-PROD01/HT-SQLDW-PROD01.vmx","BI"
"HTMG-Stats","[csVOL-A] HTMG-Stats/HTMG-Stats.vmx","BI"
"HT-DC02","[csVOL-E] HT-DC02/HT-DC02.vmx","Domain Controllers"
"HT-DC00","[csVOL-E] HT-DC00/HT-DC00.vmx","Domain Controllers"
"HT-FILE00","[csVOL-D] HT-FILE00/HT-FILE00.vmx","FileServers"
"HT-BKUP-PROX03","[csVOL-E] HT-BKUP-PROX03/HT-BKUP-PROX03.vmx","Veeam_Proxo"
"HT-BKUP-PROX04","[csVOL-E] HT-BKUP-PROX04/HT-BKUP-PROX04.vmx","Veeam_Proxo"
"v10xECW-APP03","[csVOL-eCW00] v10xECW-APP03/v10xECW-APP03.vmx","eCW_v10_PROD"
"v10xECW-APP02","[csVOL-eCW00] v10xECW-APP02/v10xECW-APP02.vmx","eCW_v10_PROD"
"v10xECW-APP00","[csVOL-eCW00] v10xECW-APP00/v10xECW-APP00.vmx","eCW_v10_PROD"
"v10xECW-APP01","[csVOL-eCW00] v10xECW-APP01/v10xECW-APP01.vmx","eCW_v10_PROD"
"v10xECW-MSSQL","[csVOL-eCWDB00] v10xECW-MSSQL/v10xECW-MSSQL.vmx","eCW_v10_PROD"
"v10xECW-EBO00","[csVOL-eCW00] v10xECW-EBO00/v10xECW-EBO00.vmx","eCW_v10_PROD"
"v10xECW-APPPP","[csVOL-eCW00] v10xECW-APPPP/v10xECW-APPPP.vmx","eCW_v10_PROD"
"v10xECW-FTP","[csVOL-eCW00] v10xECW-FTP00/v10xECW-FTP.vmx","eCW_v10_PROD"
"v10xECW-LabInt","[csVOL-eCW00] v10xECW-LabInt/v10xECW-LabInt.vmx","eCW_v10_PROD"
"HT-LABDAQ00","[csVOL-B] HT-LABDAQ00/HT-LABDAQ00.vmx","LIS_Systems"
"ht-cuc-cucm-sub","[csVOL-C] ht-cuc-cucm-sub/ht-cuc-cucm-sub.vmx","HT-CUC"
"HTMG-CUCM-PUB","[csVOL-C] HTMG-CUCM-VMDK/HTMG-CUCM-PUB.vmx","HT-CUC"
"ht-cuc-uccx-pub","[csVOL-C] ht-cuc-uccx-pub/ht-cuc-uccx-pub.vmx","HT-CUC"
"ht-cuc-uccx","[csVOL-B] ht-cuc-uccx/ht-cuc-uccx.vmx","HT-CUC"
"New Unity Server","[csVOL-A] New Unity Server/New Unity Server.vmx","HT-CUC"
"ht-cuc-unity-sec","[csVOL-B] ht-cuc-unity-sec/ht-cuc-unity-sec.vmx","HT-CUC"
"HT_FMC_DC00","[csVOL-A] HT_FMC_DC00/HT_FMC_DC00.vmx","Security_&_Monitoring"
"DT-FPSA-01","[csVOL-E] DT-FPSA-01/DT-FPSA-01.vmx","Security_&_Monitoring"
"DT-FPSA-00","[csVOL-E] DT-FPSA-00/DT-FPSA-00.vmx","Security_&_Monitoring"
"ht-vcenter67dc","[csVOL-A] ht-vcenter67dc/ht-vcenter67dc.vmx","VMware"
"HT-SRM82-DC","[csVOL-C] HT-SRM82-DC/HT-SRM82-DC.vmx","VMware"
